timestamp,sensor,data
1751517490.334099,imu,"(-0.00252, 0.00886, -1.01344, 0.00016, -0.0029, 0.78908)"
1751517490.3541713,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517490.373108,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517490.4340372,imu,"(-0.02316, -0.0152, -1.01493, -0.0162, 0.00538, 0.81049)"
1751517490.4536507,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517490.4736423,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517490.4931328,attitude,"(74.06, -2.59, -1.55)"
1751517490.5130439,position,"(0.60358, -0.0677, 0.0)"
1751517490.5339463,imu,"(0.0009, -0.00035, -1.0193, 0.00292, -0.00151, 0.75902)"
1751517490.5539804,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517490.5729153,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517490.633959,imu,"(-0.00766, -0.00607, -1.01681, -0.0159, 0.00687, 0.82164)"
1751517490.6532972,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517490.6734328,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517490.6940446,attitude,"(82.74, -2.39, -2.02)"
1751517490.714166,position,"(0.60293, -0.06698, 0.0)"
1751517490.7344668,imu,"(0.01927, 0.05881, -1.02202, -0.00344, 0.01053, 0.37247)"
1751517490.753388,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517490.7741592,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517490.8333957,imu,"(-0.01994, -0.00543, -1.01762, 0.00397, 0.00765, -0.0001)"
1751517490.8535419,esc,"([0, 1, 1, 1], [16348, 24390, 12431, 2410], [610741, 610736, 610738, 610739], [0, 0, 0, 0])"
1751517490.872905,status,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
1751517490.8937316,attitude,"(84.13, -2.36, -2.1)"
1751517490.9141085,position,"(0.59929, -0.06466, 0.0)"
